participant,age_1,gender_1,qualification_1,employment_1,employment_2,employment_3,employment_4,employment_5,employment_6,employment_7,employment_8,disorder_1,screentime_1,socialmedia_1,computergames_1,exercise_1,sleep_1,mood_1,regularity_1,duration_1,experience_1,style_1,style_specification_1,sart_1,endcode,CLIENT_start,TIME_start,TIME_end,TIME_total
s.6ea74a2f-04a9-41e3-808e-fec375713af3.txt,2,1,2,0,0,0,0,0,1,0,0,2,3,"2,5",1,3,3,6,1,"","","","",sart2.2024-05-29-1538.data.6ea74a2f-04a9-41e3-808e-fec375713af3.txt,xVsQWDUBjC,2024-04-29-15-29,2024-05-29-15-29,2024-05-29-15-38,9
s.28bd46b3-4da2-455a-8ab2-4d90e94eb739.txt,2,1,2,0,0,0,0,0,1,0,0,1,"","","","","","","","","","","","",,2024-04-30-19-42,2024-05-30-19-42,2024-05-30-19-43,1
s.64199be9-5d3f-40ab-8f6e-8606ba5f62ed.txt,2,1,3,0,1,0,0,0,1,0,0,2,2,2,2,3,3,4,1,"","","","",sart2.2024-05-26-1539.data.64199be9-5d3f-40ab-8f6e-8606ba5f62ed.txt,ChshZ6gT2e,2024-04-26-15-30,2024-05-26-15-30,2024-05-26-15-39,9
s.4839f58c-2748-4416-b6ad-bbf0f62f63c5.txt,3,1,4,0,0,0,0,0,1,0,0,2,6,5,2,4,4,7,1,"","","","",sart2.2024-05-21-2233.data.4839f58c-2748-4416-b6ad-bbf0f62f63c5.txt,CtFrmsH2bV,2024-04-21-22-24,2024-05-21-22-24,2024-05-21-22-33,9
s.30a373a3-5502-4682-b426-af7dbd71431a.txt,2,1,4,0,1,0,0,0,1,0,0,1,"","","","","","","","","","","","",,2024-04-21-19-21,2024-05-21-19-21,2024-05-21-19-21,0
s.0e6e9ba6-cdcc-4ee3-9001-de7c0e3f21c3.txt,2,1,2,0,0,0,0,0,1,0,0,2,2 or 3,2,2,3,1,3,2,1,3,3,"",sart2.2024-05-29-1519.data.0e6e9ba6-cdcc-4ee3-9001-de7c0e3f21c3.txt,5VjFnQ6OPq,2024-04-29-15-08,2024-05-29-15-08,2024-05-29-15-19,11
s.1cf3bf13-6227-467e-ac23-1e7397e5120d.txt,2,1,2,0,0,0,0,0,1,0,0,2,"2,5 h","1,5h",1,3,4,7,1,"","","","",sart2.2024-05-22-0909.data.1cf3bf13-6227-467e-ac23-1e7397e5120d.txt,y39TsJeGzJ,2024-04-22-08-56,2024-05-22-08-56,2024-05-22-09-09,13
s.f6c52a81-ac09-4849-852b-218cd78e8b98.txt,2,1,2,0,0,0,0,0,1,0,0,2,4,3,1,3,2,7,1,"","","","",sart2.2024-05-26-2307.data.f6c52a81-ac09-4849-852b-218cd78e8b98.txt,TucCJb2Q3w,2024-04-26-22-59,2024-05-26-22-59,2024-05-26-23-07,8
s.7376923a-b7bd-46aa-af5b-2fa596b194eb.txt,3,2,2,0,0,0,0,0,1,0,0,2,2,2,1,4,3,9,2,1,2,1,"",sart2.2024-05-22-0959.data.7376923a-b7bd-46aa-af5b-2fa596b194eb.txt,nNByX6KXAy,2024-04-22-09-49,2024-05-22-09-49,2024-05-22-09-59,10
s.51aa8e08-dbf1-487f-af1f-e1f896c7e07e.txt,3,2,"","","","","","","","","","","","","","","","","","","","","","","",2024-04-22-11-53,2024-05-22-05-53,"",""
s.e3095703-2579-4237-9aaa-e4402d961f7d.txt,2,2,4,0,0,0,0,0,1,0,0,2,5,2,1,2,3,3,1,"","","","",sart2.2024-05-21-1934.data.e3095703-2579-4237-9aaa-e4402d961f7d.txt,U2ZGuDPxmB,2024-04-21-19-19,2024-05-21-19-19,2024-05-21-19-34,15
s.ce90129c-cff9-40d0-a164-bb9705fd2b1a.txt,2,1,2,0,1,0,0,0,1,0,0,2,5,1,1,2,3,8,2,1,2,3,"",sart2.2024-05-27-1924.data.ce90129c-cff9-40d0-a164-bb9705fd2b1a.txt,PHEYZXwa7H,2024-04-27-19-13,2024-05-27-19-13,2024-05-27-19-24,11
s.91d104dc-f329-43ca-bd78-9cdc124f27f2.txt,2,1,2,0,0,0,0,0,1,0,0,2,2,"1,5",1,4,3,2,4,1,4,3,"","","",2024-05-04-20-05,2024-06-04-20-05,"",""
s.6ad769b9-2b1d-4867-962f-c3b02d35b5fc.txt,2,1,2,0,0,0,0,0,1,0,0,2,4,0,2,4,2,7,1,"","","","",sart2.2024-05-24-1132.data.6ad769b9-2b1d-4867-962f-c3b02d35b5fc.txt,HHyMLJcEaB,2024-04-24-11-24,2024-05-24-11-24,2024-05-24-11-32,8
s.2b5d8feb-7b75-4816-8ee0-85dbb18a1461.txt,2,1,2,0,0,0,0,0,1,0,0,2,3,"1,5",1,3,3,6,1,"","","","",sart2.2024-05-22-2217.data.2b5d8feb-7b75-4816-8ee0-85dbb18a1461.txt,jXPtUHH7pB,2024-04-22-22-06,2024-05-22-22-06,2024-05-22-22-17,11
s.5503eedf-c9df-49b4-aaa6-5bcc1e373cf5.txt,2,2,2,0,0,0,0,0,1,0,0,2,2,"0,5",2,3,2,8,1,"","","","",sart2.2024-05-22-0854.data.5503eedf-c9df-49b4-aaa6-5bcc1e373cf5.txt,7u2rQRzZsz,2024-04-22-08-44,2024-05-22-08-44,2024-05-22-08-54,10
s.a16b88e7-3d56-4c6a-a06a-eff7c22ae96a.txt,2,1,2,0,0,0,0,0,1,0,0,2,1.5,0.5,1,4,3,2,5,1,3,3,"",sart2.2024-05-22-1015.data.a16b88e7-3d56-4c6a-a06a-eff7c22ae96a.txt,3n3UQWm4YR,2024-04-22-10-07,2024-05-22-10-07,2024-05-22-10-15,8
s.ea1b24f1-1f77-494e-83df-15ff63da326a.txt,2,1,2,0,0,0,0,0,1,0,0,2,5,4,2,1,3,7,1,"","","","",sart2.2024-05-24-1936.data.ea1b24f1-1f77-494e-83df-15ff63da326a.txt,t47dLkvM7r,2024-04-24-19-28,2024-05-24-19-28,2024-05-24-19-36,8
s.4221ae1d-45fc-408b-9c3c-0cbb9e545fba.txt,2,1,2,0,0,0,0,0,1,0,0,2,2,"1,5",1,4,3,2,4,1,4,3,"",sart2.2024-06-04-2018.data.4221ae1d-45fc-408b-9c3c-0cbb9e545fba.txt,fcJqRdnXcK,2024-05-04-20-10,2024-06-04-20-10,2024-06-04-20-18,8
s.4f342910-4170-4cca-bec9-43061785bcf4.txt,2,1,2,0,0,0,0,0,1,0,0,2,3,2,1,2,3,8,1,"","","","","","",2024-04-23-14-01,2024-05-23-14-01,"",""
s.2416fc79-7777-4a56-a765-9acc29434617.txt,3,1,5,0,0,0,0,0,1,0,0,2,4,3,1,2,3,2,1,"","","","",sart2.2024-05-22-2129.data.2416fc79-7777-4a56-a765-9acc29434617.txt,nvCaatOnv5,2024-04-22-21-20,2024-05-22-21-20,2024-05-22-21-29,9
s.0206f51c-6b52-4bc6-ba3d-6ad7c1bced0e.txt,2,1,2,0,0,0,0,0,1,0,0,"","","","","","","","","","","","","","",2024-04-29-12-10,2024-05-29-12-10,"",""
s.da4f4593-97ba-4a81-962a-5bfd468b1817.txt,2,1,3,0,0,0,0,0,1,0,0,2,4,3,1,2,3,6,1,"","","","",sart2.2024-05-23-1843.data.da4f4593-97ba-4a81-962a-5bfd468b1817.txt,,2024-04-23-18-32,2024-05-23-18-32,2024-05-23-18-33,1
s.7ec03cb6-da38-41f8-ae16-9bf5bcc1fd4b.txt,3,1,5,0,0,1,0,0,0,0,0,2,5,3,1,3,4,3,1,"","","","",sart2.2024-05-22-0904.data.7ec03cb6-da38-41f8-ae16-9bf5bcc1fd4b.txt,a6Z3xuxHDB,2024-04-22-08-55,2024-05-22-08-55,2024-05-22-09-04,9
s.a0d97f3e-6bdf-4ba1-bae1-19e1f02a1a00.txt,2,2,2,0,0,0,0,0,1,0,0,2,5,1,1,4,4,9,2,1,4,3,"",sart2.2024-05-21-1818.data.a0d97f3e-6bdf-4ba1-bae1-19e1f02a1a00.txt,SbbuG8MHFr,2024-04-21-18-05,2024-05-21-18-05,2024-05-21-18-18,13
s.81523fd7-48cf-4f47-ba8d-15638ab1ad33.txt,2,1,2,0,0,0,0,0,1,0,0,2,3,"1,5",1,4,3,8,1,"","","","",sart2.2024-05-22-1118.data.81523fd7-48cf-4f47-ba8d-15638ab1ad33.txt,FEww2dJvcC,2024-04-22-11-09,2024-05-22-11-09,2024-05-22-11-18,9
s.dc1eb78b-8af4-4933-8c03-52671c1ec411.txt,2,1,2,0,0,0,0,0,1,0,0,2,4,3,1,4,3,4,1,"","","","",sart2.2024-05-30-2057.data.dc1eb78b-8af4-4933-8c03-52671c1ec411.txt,P386NN6YKE,2024-04-30-20-48,2024-05-30-20-48,2024-05-30-20-57,9
s.4567e59a-302b-4c90-be40-e02ce0b133e8.txt,2,2,2,0,0,0,1,0,1,0,0,2,2.5,0.2,2,3,2,2,2,1,2,3,"","","",2024-04-22-12-50,2024-05-22-12-50,"",""
s.a078fc53-66ba-4ec0-b4f7-0512a18b8ac7.txt,2,1,2,0,0,0,0,0,1,0,0,2,8,8,2,4,3,2,1,"","","","",sart2.2024-06-04-1305.data.a078fc53-66ba-4ec0-b4f7-0512a18b8ac7.txt,rTQK257Ksf,2024-05-04-12-55,2024-06-04-12-55,2024-06-04-13-05,10
s.f95addd3-745d-4b0f-9ed5-a5fef5935aea.txt,1,2,1,0,0,1,0,0,0,0,0,2,6,5,4,3,2,7,1,"","","","","","",2024-04-22-09-10,2024-05-22-01-10,"",""
s.332a0875-00a3-4981-b582-f666250324cb.txt,2,1,2,0,0,0,0,0,1,0,1,2,5,2,1,4,3,7,2,1,3,3,"",sart2.2024-05-21-1959.data.332a0875-00a3-4981-b582-f666250324cb.txt,jWESxjpTwK,2024-04-21-19-49,2024-05-21-19-49,2024-05-21-19-59,10
s.80d35da8-c144-45c9-b060-0c47019df883.txt,2,2,2,0,0,0,0,0,1,0,0,2,4,3,1,4,2,7,1,"","","","",sart2.2024-05-23-1546.data.80d35da8-c144-45c9-b060-0c47019df883.txt,Z57Udss267,2024-04-23-15-37,2024-05-23-15-37,2024-05-23-15-46,9
s.da63ad87-6a47-47d6-a04b-299548e5e724.txt,2,1,2,0,0,0,0,0,1,0,0,2,"2,5",1,1,4,3,9,1,"","","","",sart2.2024-05-22-1124.data.da63ad87-6a47-47d6-a04b-299548e5e724.txt,Q3O8p4yHYb,2024-04-22-11-14,2024-05-22-11-14,2024-05-22-11-24,10
s.d50fc4a4-ddb4-4aa0-8164-16977b4fdc01.txt,3,2,4,0,1,0,0,0,1,0,0,2,2,0,2,3,3,3,4,1,2,3,Vipassana meditation,sart2.2024-06-17-1116.data.d50fc4a4-ddb4-4aa0-8164-16977b4fdc01.txt,WxGwMPaVUR,2024-05-17-11-07,2024-06-17-11-07,2024-06-17-11-16,9
s.5b5bb843-b787-45ba-8faa-bec671180434.txt,2,1,2,0,0,0,0,0,1,0,0,2,4,1,2,3,2,4,4,1,1,3,"",sart2.2024-06-02-1720.data.5b5bb843-b787-45ba-8faa-bec671180434.txt,gjbZQvODb7,2024-05-02-17-08,2024-06-02-17-08,2024-06-02-17-20,12
s.7259c402-5604-4820-b4c8-b50e81f48cb4.txt,2,3,2,0,1,0,0,0,1,0,0,2,2,"0,5",1,4,2,4,2,1,4,3,"",sart2.2024-05-24-1311.data.7259c402-5604-4820-b4c8-b50e81f48cb4.txt,DEFZ6dYCQn,2024-04-24-12-59,2024-05-24-12-59,2024-05-24-13-11,12
s.d02a446f-b170-4c95-b5b9-1a90cd7707a0.txt,2,1,2,0,0,0,0,0,1,0,0,2,2,0,3,2,2,5,2,1,2,3,"",sart2.2024-05-23-1251.data.d02a446f-b170-4c95-b5b9-1a90cd7707a0.txt,WSTVLDWtyf,2024-04-23-12-39,2024-05-23-12-39,2024-05-23-12-51,12
s.95754e70-c081-47ca-9583-a14a425d6cfb.txt,2,2,2,0,0,0,0,0,1,0,0,2,3,0.25,1,3,3,6,2,1,1,3,"",sart2.2024-05-22-1218.data.95754e70-c081-47ca-9583-a14a425d6cfb.txt,QfOPYQVMeV,2024-04-22-12-05,2024-05-22-12-05,2024-05-22-12-18,13
s.5c083b1e-b5c0-4a15-8e92-ed462f46ef14.txt,2,1,2,0,0,0,0,0,1,0,0,2,4,3,1,3,3,3,2,1,1,3,"",sart2.2024-05-30-1252.data.5c083b1e-b5c0-4a15-8e92-ed462f46ef14.txt,YaXs7mquss,2024-04-30-12-42,2024-05-30-12-42,2024-05-30-12-52,10
s.96210bc2-6fbc-46b6-9a1a-342e04caa597.txt,4,1,3,0,0,0,0,0,1,0,1,2,?,24,1,1,3,5,1,"","","","",sart2.2024-05-28-0911.data.96210bc2-6fbc-46b6-9a1a-342e04caa597.txt,x2aqReJGj3,2024-04-28-08-42,2024-05-28-08-42,2024-05-28-09-11,29
s.a2fe013c-5147-4709-90a0-8a552e3aaf0b.txt,2,2,2,0,0,0,0,0,1,0,0,2,2,2,1,3,3,7,3,2,3,3,"",sart2.2024-05-26-1718.data.a2fe013c-5147-4709-90a0-8a552e3aaf0b.txt,fh3zzQtLKb,2024-04-26-17-08,2024-05-26-17-08,2024-05-26-17-18,10
s.15c2b306-6593-4a73-bf66-718b998330de.txt,2,1,2,0,0,0,0,0,1,0,1,2,3,1,1,4,3,7,2,1,3,3,"",sart2.2024-05-24-1519.data.15c2b306-6593-4a73-bf66-718b998330de.txt,qu2wzx2L5H,2024-04-24-15-10,2024-05-24-15-10,2024-05-24-15-19,9
s.b3b2e410-384e-4c9b-8b45-b0d2510280a5.txt,2,1,2,0,0,0,0,0,1,0,0,2,4,2,1,3,3,6,2,1,2,3,"",sart2.2024-06-04-1843.data.b3b2e410-384e-4c9b-8b45-b0d2510280a5.txt,M6EeD6GbcR,2024-05-04-18-30,2024-06-04-18-30,2024-06-04-18-43,13
s.3f1c9370-5c6e-494e-9bc6-3ed62f031fec.txt,2,2,2,0,0,0,0,0,1,0,0,2,4,3,1,3,2,4,2,1,1,3,"",sart2.2024-05-22-1125.data.3f1c9370-5c6e-494e-9bc6-3ed62f031fec.txt,VyYkfxMO73,2024-04-22-11-14,2024-05-22-11-14,2024-05-22-11-25,11
s.1d52e5ab-e7b6-4b89-8cf1-3f10ac35b323.txt,2,1,2,0,0,0,0,0,1,0,0,2,4,1,2,3,4,8,1,"","","","",sart2.2024-05-21-2056.data.1d52e5ab-e7b6-4b89-8cf1-3f10ac35b323.txt,NMhmdxzFbh,2024-04-21-20-47,2024-05-21-20-47,2024-05-21-20-56,9
s.693e74ba-ef36-4c92-ae05-fd5c74087f7e.txt,3,1,4,0,0,0,0,0,1,0,0,2,"3,5","1,5",1,4,4,8,4,1,3,3,"",sart2.2024-06-01-2207.data.693e74ba-ef36-4c92-ae05-fd5c74087f7e.txt,96n3xCv8vu,2024-05-01-21-59,2024-06-01-21-59,2024-06-01-22-07,8
s.983f8f35-bf92-40d6-8411-6794c6340c32.txt,2,2,2,0,0,0,0,0,1,0,0,2,2,1,1,4,3,6,1,"","","","",sart2.2024-05-23-1936.data.983f8f35-bf92-40d6-8411-6794c6340c32.txt,Hen6ZYwd2z,2024-04-23-19-27,2024-05-23-19-27,2024-05-23-19-36,9
s.ae6208cc-18d2-4d0a-aece-9f6c2fc99aa7.txt,2,1,2,0,0,0,0,0,1,0,0,2,2,"1,5",1,3,4,7,1,"","","","",sart2.2024-06-11-0933.data.ae6208cc-18d2-4d0a-aece-9f6c2fc99aa7.txt,j3mBNXgAfP,2024-05-11-09-24,2024-06-11-09-24,2024-06-11-09-33,9
s.bfd7e504-9ee2-4978-a64f-2530c05c6c76.txt,2,1,2,0,0,0,0,0,1,0,0,2,5,3.5,1,2,3,7,2,1,2,3,"",sart2.2024-05-27-2102.data.bfd7e504-9ee2-4978-a64f-2530c05c6c76.txt,GM3fGnCM8M,2024-04-27-20-50,2024-05-27-20-50,2024-05-27-21-02,12
s.98125ca5-592a-432b-b923-582f394a4aa5.txt,4,2,5,1,0,0,0,0,0,0,0,1,"","","","","","","","","","","","",,2024-04-21-11-52,2024-05-21-18-57,2024-05-21-18-57,0
s.fd856191-271f-4d06-977f-fa5b48ae9271.txt,2,1,2,0,0,0,0,0,1,0,0,2,2,1,1,4,2,6,1,"","","","",sart2.2024-05-22-0813.data.fd856191-271f-4d06-977f-fa5b48ae9271.txt,x7UssEmJxG,2024-04-22-08-04,2024-05-22-08-04,2024-05-22-08-13,9
s.c61e055b-efc9-43dd-a339-7447eaba7a67.txt,2,1,2,0,0,0,0,0,1,0,0,2,3,2,1,3,4,4,2,1,3,3,"",sart2.2024-05-23-1855.data.c61e055b-efc9-43dd-a339-7447eaba7a67.txt,pq7VRMyGjp,2024-04-23-18-44,2024-05-23-18-44,2024-05-23-18-55,11
s.b8101082-7d8f-4d7f-a856-239df12a46a9.txt,2,1,2,0,0,0,0,0,1,0,0,2,3,1,1,4,3,4,2,1,3,3,"",sart2.2024-05-22-1513.data.b8101082-7d8f-4d7f-a856-239df12a46a9.txt,6Z4pT6zgvQ,2024-04-22-15-03,2024-05-22-15-03,2024-05-22-15-13,10
s.cbefc7b7-270d-439a-a3a0-13bd7881cdae.txt,2,2,2,0,0,0,0,0,1,0,0,2,2,0.75,1,4,3,3,5,1,3,3,"",sart2.2024-05-24-0834.data.cbefc7b7-270d-439a-a3a0-13bd7881cdae.txt,ZgzOjXg6vX,2024-04-24-08-25,2024-05-24-08-25,2024-05-24-08-34,9
s.4897b471-ccb1-4970-baf5-51599550cc08.txt,3,2,5,0,0,1,0,0,0,0,0,2,2,1,1,4,3,5,1,"","","","",sart2.2024-05-26-0822.data.4897b471-ccb1-4970-baf5-51599550cc08.txt,hPFZRDNbQM,2024-04-26-08-14,2024-05-26-08-14,2024-05-26-08-22,8
s.aabe98a2-cb3c-4b7b-ab8f-e67beee4b139.txt,5,1,2,0,1,0,0,0,0,0,0,2,2,1/2,1,4,1,4,2,1,4,2,"","","",2024-05-01-14-04,2024-06-01-14-05,"",""
s.1639b72e-b2e5-4cb3-b229-316ce291d27b.txt,2,1,2,0,0,0,0,0,1,0,0,2,"2,5",3,1,4,3,4,2,1,2,3,"",sart2.2024-05-22-1708.data.1639b72e-b2e5-4cb3-b229-316ce291d27b.txt,YSHzm8SFBk,2024-04-22-16-55,2024-05-22-16-55,2024-05-22-17-08,13
